station_name,station_id,station_lat,station_lng
Chauncey St & Stuyvesant Ave,4196.05,40.68012,-73.93168
Bergen St & Carlton Ave,4199.07,40.680092336223886,-73.97118045900022
Carlton Ave & Dean St,4199.12,40.6809741,-73.9710097
Carlton Ave & St Marks Ave,4199.13,40.67911856082165,-73.97176265716553
Richards St & Delavan St,4202.04,40.6794327,-74.00785041
Somers St & Broadway,4203.04,40.67945,-73.90474
Kingston Ave & Herkimer St,4205.06,40.678854942,-73.941418409
Sterling Pl & 5 Ave,4208.01,40.678970070475735,-73.97855266928671
MacDougal St & Rockaway Ave,4212.01,40.68018,-73.91136
Macon St & Nostrand Ave,4214.03,40.6809833854,-73.9500479759
Verona Pl & Fulton St,4214.04,40.680489421,-73.947761536
Douglass St & 3 Ave,4217.02,40.6802133,-73.98432695
Degraw St & 3 Ave,4217.06,40.679855585,-73.984749317
Ralph Ave & Fulton St,4220.02,40.67922,-73.92192
Lefferts Pl & Franklin Ave,4222.02,40.680342423,-73.9557689392
Carroll St & Smith St,4225.14,40.680611,-73.99475825
Fulton St & Utica Ave,4228.02,40.6794268,-73.9298911
Chauncey St & Malcolm X Blvd,4228.06,40.680443406,-73.928438067
Underhill Ave & Pacific St,4231.04,40.6804836,-73.9646795
Lewis Ave & Decatur St,4237.01,40.6814598,-73.934903
Albany Ave & Fulton St,4237.02,40.6800105,-73.938475
Commerce St & Van Brunt St,4243.01,40.6812117,-74.00860912
Broadway & Furman Ave,4244.06,40.68139,-73.90756
MacDonough St & Marcy Ave,4246.02,40.680826545,-73.946020722
St Marks Pl & 4 Ave,4249.1,40.68177810928762,-73.97988975048065
St Marks Pl & 4 Ave,4249.10,40.68177810928762,-73.97988975048065
Thomas S. Boyland St & Marion St,4253.02,40.681774259,-73.914037585
Hancock St & Bedford Ave,4255.05,40.68216564,-73.95399026
Degraw St & Hoyt St,4258.07,40.68199044270703,-73.99079024791718
Patchen Ave & Bainbridge St,4261.03,40.68143,-73.92565
Fulton St & Irving Pl,4263.12,40.68180871,-73.9593364
Clinton St & Union St,4266.03,40.6831164,-73.99785267
Marcus Garvey Blvd & Macon St,4278.03,40.682601,-73.938037
Bergen St & Flatbush Ave,4281.08,40.680944723477296,-73.97567331790923
Rockaway Ave & Bainbridge St,4285.09,40.683247924,-73.911759615
Wyckoff St & 3 Ave,4290.06,40.6827549,-73.98258555
